id;Тема;Тип задачи;full_text;processed_text;target_encoded
1205;Прошу предоставить права на создание шаблонов в confluence для пространства ДЗР;Запрос на обслуживание;Прошу предоставить права на создание шаблонов в confluence для пространства ДЗР;просить предоставить право создание шаблон confluence пространство дзр;6
1206;Установить MS Project;Запрос на обслуживание;Установить MS Project;установить project;6
1207;Доступ к стендам для Халиковой Юлии;Запрос на обслуживание;Доступ к стендам для Халиковой Юлии;доступ стенд халиков юлия;6
1208;?Yealink Device Management Platform?Critical alarms;Запрос на обслуживание;?Yealink Device Management Platform?Critical alarms;yealink device management platform critical alarms;6
1209;Повторно перевыпустить тесовую подпись cryptoPro;Запрос на обслуживание;Повторно перевыпустить тесовую подпись cryptoPro;повторно перевыпустить тесовый подпись cryptopro;6
1210;Не определяется камера  на ноутбуке;Запрос на обслуживание;Не определяется камера  на ноутбуке;определяться камера ноутбук;6
1211;Переезд внутри Московского офиса Львов Максим Алексеевич;Запрос на обслуживание;Переезд внутри Московского офиса Львов Максим Алексеевич;переезд внутри московский офис лев максим алексеевич;6
1212;"Ошибка ""Не удается получить доступ к сайту""";Запрос на обслуживание;"Ошибка ""Не удается получить доступ к сайту""";ошибка удаваться получить доступ сайт;6
1213;Доступ в папку в Яндекс Диске;Запрос на обслуживание;Доступ в папку в Яндекс Диске;доступ папка яндекс диск;6
1214;ДИТ. Создание УЗ - Назарьева Елизавета Владимировна;Подзадача;ДИТ. Создание УЗ - Назарьева Елизавета Владимировна;дит создание назарьев елизавета владимирович;12
1215;Оборудование - Назарьева Елизавета Владимировна 9/8/25 ;Подзадача;Оборудование - Назарьева Елизавета Владимировна 9/8/25 ;оборудование назарьев елизавета владимирович;12
1216;Календарь - Назарьева Елизавета Владимировна;HR: Приём;Календарь - Назарьева Елизавета Владимировна;календарь назарьев елизавета владимирович;1
1217;Бухгалтерия. Сформировать акт приема-передачи для Назарьева Елизавета Владимировна , 9/8/25;Подзадача;Бухгалтерия. Сформировать акт приема-передачи для Назарьева Елизавета Владимировна , 9/8/25;бухгалтерия сформировать акт приём передача назарьев елизавета владимирович;12
1218;АХО. Уведомление о выходе сотрудника Назарьева Елизавета Владимировна , 9/8/25;Подзадача;АХО. Уведомление о выходе сотрудника Назарьева Елизавета Владимировна , 9/8/25;ахо уведомление выход сотрудник назарьев елизавета владимирович;12
1219;Другие доступы - Назарьева Елизавета Владимировна;Подзадача;Другие доступы - Назарьева Елизавета Владимировна;другой доступ назарьев елизавета владимирович;12
1220;ДФ. Проверить расходы на мобильную связь - Чернов Алексей Дмитриевич;Подзадача увольнение;ДФ. Проверить расходы на мобильную связь - Чернов Алексей Дмитриевич;проверить расход мобильный связь чернов алексей дмитриевич;14
1221;ДФ. Проверить незакрытые командировочные расходы - Чернов Алексей Дмитриевич;Подзадача увольнение;ДФ. Проверить незакрытые командировочные расходы - Чернов Алексей Дмитриевич;проверить незакрытый командировочный расход чернов алексей дмитриевич;14
1222;ДРК. Проверить выпущенные доверенности - Чернов Алексей Дмитриевич;Подзадача увольнение;ДРК. Проверить выпущенные доверенности - Чернов Алексей Дмитриевич;дрк проверить выпустить доверенность чернов алексей дмитриевич;14
1223;ПД. Проверить выпущенные доверенности - Чернов Алексей Дмитриевич;Подзадача увольнение;ПД. Проверить выпущенные доверенности - Чернов Алексей Дмитриевич;проверить выпустить доверенность чернов алексей дмитриевич;14
1224;ЮУ. Проверить выпущенные доверенности - Чернов Алексей Дмитриевич;Подзадача увольнение;ЮУ. Проверить выпущенные доверенности - Чернов Алексей Дмитриевич;проверить выпустить доверенность чернов алексей дмитриевич;14
1225;АХО. Разобрать рабочее место - Чернов Алексей Дмитриевич;Подзадача увольнение;АХО. Разобрать рабочее место - Чернов Алексей Дмитриевич;ахо разобрать рабочий место чернов алексей дмитриевич;14
1226;АХО. Моб. связь, парковочный талон - Чернов Алексей Дмитриевич;Подзадача увольнение;АХО. Моб. связь, парковочный талон - Чернов Алексей Дмитриевич;ахо моб связь парковочный талон чернов алексей дмитриевич;14
1227;АХО. Уведомление об увольнении - Чернов Алексей Дмитриевич;Подзадача увольнение;АХО. Уведомление об увольнении - Чернов Алексей Дмитриевич;ахо уведомление увольнение чернов алексей дмитриевич;14
1228;ДИТ L2. Наличие ВМ, облака и сетевых папок за сотрудником - Чернов Алексей Дмитриевич, БФТ-Проект;Подзадача увольнение;ДИТ L2. Наличие ВМ, облака и сетевых папок за сотрудником - Чернов Алексей Дмитриевич, БФТ-Проект;дит наличие облако сетевой папка сотрудник чернов алексей дмитриевич бфт проект;14
1229;ДИТ L2. VPN - Чернов Алексей Дмитриевич, БФТ-Проект;Подзадача увольнение;ДИТ L2. VPN - Чернов Алексей Дмитриевич, БФТ-Проект;дит vpn чернов алексей дмитриевич бфт проект;14
1230;ДИТ. Отключение УЗ - Чернов Алексей Дмитриевич, БФТ-Проект;Подзадача увольнение;ДИТ. Отключение УЗ - Чернов Алексей Дмитриевич, БФТ-Проект;дит отключение чернов алексей дмитриевич бфт проект;14
1231;HR. Бронирование - Чернов Алексей Дмитриевич;Подзадача увольнение;HR. Бронирование - Чернов Алексей Дмитриевич;бронирование чернов алексей дмитриевич;14
1232;HR. ДМС - Чернов Алексей Дмитриевич;Подзадача увольнение;HR. ДМС - Чернов Алексей Дмитриевич;дмс чернов алексей дмитриевич;14
1233;HR. Долги по обучению, аккаунт BFTraining - Чернов Алексей Дмитриевич;Подзадача увольнение;HR. Долги по обучению, аккаунт BFTraining - Чернов Алексей Дмитриевич;долг обучение аккаунт bftraining чернов алексей дмитриевич;14
1234;ДТиОР. Передать списки во FriendWork - Чернов Алексей Дмитриевич;Подзадача увольнение;ДТиОР. Передать списки во FriendWork - Чернов Алексей Дмитриевич;дтиор передать список friendwork чернов алексей дмитриевич;14
1235;ДТиОР. Установить замещение в СЭД - Чернов Алексей Дмитриевич;Подзадача увольнение;ДТиОР. Установить замещение в СЭД - Чернов Алексей Дмитриевич;дтиор установить замещение сэд чернов алексей дмитриевич;14
1236;Служба безопасности. Увольнение - Чернов Алексей Дмитриевич;Подзадача увольнение;Служба безопасности. Увольнение - Чернов Алексей Дмитриевич;служба безопасность увольнение чернов алексей дмитриевич;14
1237;ФинДеп. Уволить в ПУ - Чернов Алексей Дмитриевич;Подзадача увольнение;ФинДеп. Уволить в ПУ - Чернов Алексей Дмитриевич;финдеп уволить чернов алексей дмитриевич;14
1238;Бухгалтерия. Акт возврата - Чернов Алексей Дмитриевич;Подзадача увольнение;Бухгалтерия. Акт возврата - Чернов Алексей Дмитриевич;бухгалтерия акт возврат чернов алексей дмитриевич;14
1239;Оборудование - Чернов Алексей Дмитриевич, БФТ-Проект;Подзадача основные средства;Оборудование - Чернов Алексей Дмитриевич, БФТ-Проект;оборудование чернов алексей дмитриевич бфт проект;13
1240;Увольнение Чернов Алексей Дмитриевич  . БФТ-Проект;HR: Увольнение;Увольнение Чернов Алексей Дмитриевич  . БФТ-Проект;увольнение чернов алексей дмитриевич бфт проект;3
1241;[Выход] 08.09.2025 Назарьева Елизавета Владимировна (Воронеж);Заявка на выход сотрудника;[Выход] 08.09.2025 Назарьева Елизавета Владимировна (Воронеж);выход назарьев елизавета владимирович воронеж;8
1242;Истек Сертификат для отправки зашифрованных сообщений;Запрос на обслуживание;Истек Сертификат для отправки зашифрованных сообщений;истечь сертификат отправка зашифровать сообщение;6
1243;Гостевой пропуск для Смирнов Александр Сергеевич;Заказ гостевого пропуска;Гостевой пропуск для Смирнов Александр Сергеевич;гостевой пропуск смирнов александр сергеевич;5
1244;Гостевой пропуск для Петров Михаил Юрьевич;Заказ гостевого пропуска;Гостевой пропуск для Петров Михаил Юрьевич;гостевой пропуск петров михаил юриевич;5
1245;Джира Удалить команды в джире;Запрос на обслуживание;Джира Удалить команды в джире;джир удалить команда джир;6
1246;1С ПУ нужно разъяснения по сентябрю;Запрос на обслуживание;1С ПУ нужно разъяснения по сентябрю;нужно разъяснение сентябрь;6
1247;Установка MS Visio;Запрос на обслуживание;Установка MS Visio;установка visio;6
1248;Нет доступа к задачам / ресурсам Jira, Confluence, Bitbucket;Запрос на обслуживание;Нет доступа к задачам / ресурсам Jira, Confluence, Bitbucket;доступ задача ресурс jira confluence bitbucket;6
1249;проект 11679;Запрос на обслуживание;проект 11679;проект;6
1250;Бухгалтерия. Изменение даты выхода Романов Евгений Валерьевич;Подзадача;Бухгалтерия. Изменение даты выхода Романов Евгений Валерьевич;бухгалтерия изменение дата выход роман евгений валериевич;12
1251;Доступ к странице ;Запрос на обслуживание;Доступ к странице ;доступ страница;6
1252;Снять бэкап вм;Запрос на обслуживание;Снять бэкап вм;снять бэкап;6
1253;Помощь со входом в ноут. Поспелов Александр.;Запрос на обслуживание;Помощь со входом в ноут. Поспелов Александр.;помощь вход ноут поспелов александр;6
1254;Командировка ПУ № Л00000961 для Кондукторов Сергей Геронтьевич;Заявка на билет и проживание;Командировка ПУ № Л00000961 для Кондукторов Сергей Геронтьевич;командировка кондуктор сергей геронтиевич;7
1255;Подключение к шаре;Запрос на обслуживание;Подключение к шаре;подключение шар;6
1256;Заявка на добавление в группу AD_2;Запрос на обслуживание;Заявка на добавление в группу AD_2;заявка добавление группа;6
1257;не работает камера;Запрос на обслуживание;не работает камера;работать камера;6
1258;HR Link, проблемы с подписанием документа;Запрос на обслуживание;HR Link, проблемы с подписанием документа;link проблема подписание документ;6
1259;АХО. Парковочный талон, моб. связь Выход в декрет - Лоложи Дарья Сергеевна;Подзадача;АХО. Парковочный талон, моб. связь Выход в декрет - Лоложи Дарья Сергеевна;ахо парковочный талон моб связь выход декрет лоложа дарья сергеевич;12
1260;HR. Изменения в HR-Link. Выход в декрет - Лоложи Дарья Сергеевна;Подзадача;HR. Изменения в HR-Link. Выход в декрет - Лоложи Дарья Сергеевна;изменение link выход декрет лоложа дарья сергеевич;12
1261;ДИТ. Учетная запись. Выход в декрет - Лоложи Дарья Сергеевна;Подзадача;ДИТ. Учетная запись. Выход в декрет - Лоложи Дарья Сергеевна;дит учётный запись выход декрет лоложа дарья сергеевич;12
1262;Бухгалтерия. Акт в HR-Link. Выход в декрет - Лоложи Дарья Сергеевна;Подзадача;Бухгалтерия. Акт в HR-Link. Выход в декрет - Лоложи Дарья Сергеевна;бухгалтерия акт link выход декрет лоложа дарья сергеевич;12
1263;Оборудование. Выход в декрет - Лоложи Дарья Сергеевна;Подзадача основные средства;Оборудование. Выход в декрет - Лоложи Дарья Сергеевна;оборудование выход декрет лоложа дарья сергеевич;13
1264;Выход в декрет для Лоложи Дарья Сергеевна;Изменение условий работы;Выход в декрет для Лоложи Дарья Сергеевна;выход декрет лоложа дарья сергеевич;11
1265;вопрос - изменение бюджета в задаче;Запрос на обслуживание;вопрос - изменение бюджета в задаче;вопрос изменение бюджет задача;6
1266;Перестали приходить новые комиты в rosreestr/ksao/ice/reports;Запрос на обслуживание;Перестали приходить новые комиты в rosreestr/ksao/ice/reports;перестать приходить новый комит rosreestr ksao ice reports;6
1267;Доступ к контрактам в CRM;Запрос на обслуживание;Доступ к контрактам в CRM;доступ контракт crm;6
1268;Переутвердить в ПУ лимиты проектов База и НП Кадры;Запрос на обслуживание;Переутвердить в ПУ лимиты проектов База и НП Кадры;переутвердить лимит проект база кадр;6
1269;Проектный учет. Утверждение фактической отработки;Запрос на обслуживание;Проектный учет. Утверждение фактической отработки;проектный учёт утверждение фактический отработка;6
1270;"FW: КОНТРАКТ № 58ОК44-2025Московский технический университет связи и информатики, ФГБУ: Установить значение в поле ""Статус мониторинга отчетной документации""";Запрос на обслуживание;"FW: КОНТРАКТ № 58ОК44-2025Московский технический университет связи и информатики, ФГБУ: Установить значение в поле ""Статус мониторинга отчетной документации""";контракт московский технический университет связь информатика фгб установить значение поле статус мониторинг отчётный документация;6
1271;Выдать доступ в gitlab.bft.local;Запрос на обслуживание;Выдать доступ в gitlab.bft.local;выдать доступ gitlab bft local;6
1272;Создание технических пользователей в Jira;Запрос на обслуживание;Создание технических пользователей в Jira;создание технический пользователь jira;6
1273;Аукцион БФТ- ссылка для трансляции;Запрос на обслуживание;Аукцион БФТ- ссылка для трансляции;аукцион бфт ссылка трансляция;6
1274;В службу АХО. заказ такси;Запрос на обслуживание;В службу АХО. заказ такси;служба ахо заказ такси;6
1275;Доставка документов;Запрос на обслуживание;Доставка документов;доставка документ;6
1276;Нет доступа к gitlab и jira ЕЦП;Запрос на обслуживание;Нет доступа к gitlab и jira ЕЦП;доступ gitlab jira ецп;6
1277;srv-budkontrol;Запрос на обслуживание;srv-budkontrol;srv budkontrol;6
1278;ДФ. Проверить расходы на мобильную связь - Минлибаева Елена Сергеевна;Подзадача увольнение;ДФ. Проверить расходы на мобильную связь - Минлибаева Елена Сергеевна;проверить расход мобильный связь минлибаев елена сергеевич;14
1279;ДФ. Проверить незакрытые командировочные расходы - Минлибаева Елена Сергеевна;Подзадача увольнение;ДФ. Проверить незакрытые командировочные расходы - Минлибаева Елена Сергеевна;проверить незакрытый командировочный расход минлибаев елена сергеевич;14
1280;ДРК. Проверить выпущенные доверенности - Минлибаева Елена Сергеевна;Подзадача увольнение;ДРК. Проверить выпущенные доверенности - Минлибаева Елена Сергеевна;дрк проверить выпустить доверенность минлибаев елена сергеевич;14
1281;ПД. Проверить выпущенные доверенности - Минлибаева Елена Сергеевна;Подзадача увольнение;ПД. Проверить выпущенные доверенности - Минлибаева Елена Сергеевна;проверить выпустить доверенность минлибаев елена сергеевич;14
1282;ЮУ. Проверить выпущенные доверенности - Минлибаева Елена Сергеевна;Подзадача увольнение;ЮУ. Проверить выпущенные доверенности - Минлибаева Елена Сергеевна;проверить выпустить доверенность минлибаев елена сергеевич;14
1283;АХО. Разобрать рабочее место - Минлибаева Елена Сергеевна;Подзадача увольнение;АХО. Разобрать рабочее место - Минлибаева Елена Сергеевна;ахо разобрать рабочий место минлибаев елена сергеевич;14
1284;АХО. Моб. связь, парковочный талон - Минлибаева Елена Сергеевна;Подзадача увольнение;АХО. Моб. связь, парковочный талон - Минлибаева Елена Сергеевна;ахо моб связь парковочный талон минлибаев елена сергеевич;14
1285;АХО. Уведомление об увольнении - Минлибаева Елена Сергеевна;Подзадача увольнение;АХО. Уведомление об увольнении - Минлибаева Елена Сергеевна;ахо уведомление увольнение минлибаев елена сергеевич;14
1286;ДИТ L2. Наличие ВМ, облака и сетевых папок за сотрудником - Минлибаева Елена Сергеевна, БФТ.Цифровой регион;Подзадача увольнение;ДИТ L2. Наличие ВМ, облака и сетевых папок за сотрудником - Минлибаева Елена Сергеевна, БФТ.Цифровой регион;дит наличие облако сетевой папка сотрудник минлибаев елена сергеевич бфт цифровой регион;14
1287;ДИТ L2. VPN - Минлибаева Елена Сергеевна, БФТ.Цифровой регион;Подзадача увольнение;ДИТ L2. VPN - Минлибаева Елена Сергеевна, БФТ.Цифровой регион;дит vpn минлибаев елена сергеевич бфт цифровой регион;14
1288;ДИТ. Отключение УЗ - Минлибаева Елена Сергеевна, БФТ.Цифровой регион;Подзадача увольнение;ДИТ. Отключение УЗ - Минлибаева Елена Сергеевна, БФТ.Цифровой регион;дит отключение минлибаев елена сергеевич бфт цифровой регион;14
1289;HR. Бронирование - Минлибаева Елена Сергеевна;Подзадача увольнение;HR. Бронирование - Минлибаева Елена Сергеевна;бронирование минлибаев елена сергеевич;14
1290;HR. ДМС - Минлибаева Елена Сергеевна;Подзадача увольнение;HR. ДМС - Минлибаева Елена Сергеевна;дмс минлибаев елена сергеевич;14
1291;HR. Долги по обучению, аккаунт BFTraining - Минлибаева Елена Сергеевна;Подзадача увольнение;HR. Долги по обучению, аккаунт BFTraining - Минлибаева Елена Сергеевна;долг обучение аккаунт bftraining минлибаев елена сергеевич;14
1292;ДТиОР. Передать списки во FriendWork - Минлибаева Елена Сергеевна;Подзадача увольнение;ДТиОР. Передать списки во FriendWork - Минлибаева Елена Сергеевна;дтиор передать список friendwork минлибаев елена сергеевич;14
1293;ДТиОР. Установить замещение в СЭД - Минлибаева Елена Сергеевна;Подзадача увольнение;ДТиОР. Установить замещение в СЭД - Минлибаева Елена Сергеевна;дтиор установить замещение сэд минлибаев елена сергеевич;14
1294;Служба безопасности. Увольнение - Минлибаева Елена Сергеевна;Подзадача увольнение;Служба безопасности. Увольнение - Минлибаева Елена Сергеевна;служба безопасность увольнение минлибаев елена сергеевич;14
1295;ФинДеп. Уволить в ПУ - Минлибаева Елена Сергеевна;Подзадача увольнение;ФинДеп. Уволить в ПУ - Минлибаева Елена Сергеевна;финдеп уволить минлибаев елена сергеевич;14
1296;Бухгалтерия. Акт возврата - Минлибаева Елена Сергеевна;Подзадача увольнение;Бухгалтерия. Акт возврата - Минлибаева Елена Сергеевна;бухгалтерия акт возврат минлибаев елена сергеевич;14
1297;Оборудование - Минлибаева Елена Сергеевна, БФТ.Цифровой регион;Подзадача основные средства;Оборудование - Минлибаева Елена Сергеевна, БФТ.Цифровой регион;оборудование минлибаев елена сергеевич бфт цифровой регион;13
1298;Гостевой пропуск для Константинова Елена Юрьевна;Заказ гостевого пропуска;Гостевой пропуск для Константинова Елена Юрьевна;гостевой пропуск константинов елена юриевич;5
1299;Увольнение Минлибаева Елена Сергеевна  . БФТ.Цифровой регион;HR: Увольнение;Увольнение Минлибаева Елена Сергеевна  . БФТ.Цифровой регион;увольнение минлибаев елена сергеевич бфт цифровой регион;3
1300;ДФ. Проверить расходы на мобильную связь - Стояновский Олег Михайлович;Подзадача увольнение;ДФ. Проверить расходы на мобильную связь - Стояновский Олег Михайлович;проверить расход мобильный связь стояновский олег михаилович;14
1301;ДФ. Проверить незакрытые командировочные расходы - Стояновский Олег Михайлович;Подзадача увольнение;ДФ. Проверить незакрытые командировочные расходы - Стояновский Олег Михайлович;проверить незакрытый командировочный расход стояновский олег михаилович;14
1302;ДРК. Проверить выпущенные доверенности - Стояновский Олег Михайлович;Подзадача увольнение;ДРК. Проверить выпущенные доверенности - Стояновский Олег Михайлович;дрк проверить выпустить доверенность стояновский олег михаилович;14
1303;ПД. Проверить выпущенные доверенности - Стояновский Олег Михайлович;Подзадача увольнение;ПД. Проверить выпущенные доверенности - Стояновский Олег Михайлович;проверить выпустить доверенность стояновский олег михаилович;14
1304;ЮУ. Проверить выпущенные доверенности - Стояновский Олег Михайлович;Подзадача увольнение;ЮУ. Проверить выпущенные доверенности - Стояновский Олег Михайлович;проверить выпустить доверенность стояновский олег михаилович;14
1305;АХО. Разобрать рабочее место - Стояновский Олег Михайлович;Подзадача увольнение;АХО. Разобрать рабочее место - Стояновский Олег Михайлович;ахо разобрать рабочий место стояновский олег михаилович;14
1306;АХО. Моб. связь, парковочный талон - Стояновский Олег Михайлович;Подзадача увольнение;АХО. Моб. связь, парковочный талон - Стояновский Олег Михайлович;ахо моб связь парковочный талон стояновский олег михаилович;14
1307;Доступ ;Запрос на обслуживание;Доступ ;доступ;6
1308;АХО. Уведомление об увольнении - Стояновский Олег Михайлович;Подзадача увольнение;АХО. Уведомление об увольнении - Стояновский Олег Михайлович;ахо уведомление увольнение стояновский олег михаилович;14
1309;ДИТ L2. Наличие ВМ, облака и сетевых папок за сотрудником - Стояновский Олег Михайлович, БФТ;Подзадача увольнение;ДИТ L2. Наличие ВМ, облака и сетевых папок за сотрудником - Стояновский Олег Михайлович, БФТ;дит наличие облако сетевой папка сотрудник стояновский олег михаилович бфт;14
1310;ДИТ L2. VPN - Стояновский Олег Михайлович, БФТ;Подзадача увольнение;ДИТ L2. VPN - Стояновский Олег Михайлович, БФТ;дит vpn стояновский олег михаилович бфт;14
1311;ДИТ. Отключение УЗ - Стояновский Олег Михайлович, БФТ;Подзадача увольнение;ДИТ. Отключение УЗ - Стояновский Олег Михайлович, БФТ;дит отключение стояновский олег михаилович бфт;14
1312;HR. Бронирование - Стояновский Олег Михайлович;Подзадача увольнение;HR. Бронирование - Стояновский Олег Михайлович;бронирование стояновский олег михаилович;14
1313;HR. ДМС - Стояновский Олег Михайлович;Подзадача увольнение;HR. ДМС - Стояновский Олег Михайлович;дмс стояновский олег михаилович;14
1314;HR. Долги по обучению, аккаунт BFTraining - Стояновский Олег Михайлович;Подзадача увольнение;HR. Долги по обучению, аккаунт BFTraining - Стояновский Олег Михайлович;долг обучение аккаунт bftraining стояновский олег михаилович;14
1315;ДТиОР. Передать списки во FriendWork - Стояновский Олег Михайлович;Подзадача увольнение;ДТиОР. Передать списки во FriendWork - Стояновский Олег Михайлович;дтиор передать список friendwork стояновский олег михаилович;14
1316;ДТиОР. Установить замещение в СЭД - Стояновский Олег Михайлович;Подзадача увольнение;ДТиОР. Установить замещение в СЭД - Стояновский Олег Михайлович;дтиор установить замещение сэд стояновский олег михаилович;14
1317;Служба безопасности. Увольнение - Стояновский Олег Михайлович;Подзадача увольнение;Служба безопасности. Увольнение - Стояновский Олег Михайлович;служба безопасность увольнение стояновский олег михаилович;14
1318;ФинДеп. Уволить в ПУ - Стояновский Олег Михайлович;Подзадача увольнение;ФинДеп. Уволить в ПУ - Стояновский Олег Михайлович;финдеп уволить стояновский олег михаилович;14
1319;Бухгалтерия. Акт возврата - Стояновский Олег Михайлович;Подзадача увольнение;Бухгалтерия. Акт возврата - Стояновский Олег Михайлович;бухгалтерия акт возврат стояновский олег михаилович;14
1320;Оборудование - Стояновский Олег Михайлович, БФТ;Подзадача основные средства;Оборудование - Стояновский Олег Михайлович, БФТ;оборудование стояновский олег михаилович бфт;13
1321;Увольнение Стояновский Олег Михайлович  . БФТ;HR: Увольнение;Увольнение Стояновский Олег Михайлович  . БФТ;увольнение стояновский олег михаилович бфт;3
1322;Сделать глобальный справочник Handy Status для пространства ДЗР;Запрос на обслуживание;Сделать глобальный справочник Handy Status для пространства ДЗР;сделать глобальный справочник handy status пространство дзр;6
1323;Доступ к данным и суммам в ПУ;Запрос на обслуживание;Доступ к данным и суммам в ПУ;доступ данные сумма;6
1324;Получение прав администратора на новый рабочий ноутбук;Запрос на обслуживание;Получение прав администратора на новый рабочий ноутбук;получение право администратор новый рабочий ноутбук;6
1325;Jira не отображается с первого раза кнопка Отметить работу. ;Запрос на обслуживание;Jira не отображается с первого раза кнопка Отметить работу. ;jira отображаться первый раз кнопка отметить работа;6
1326;доступ в CF к https://confluence.bftcom.com/pages/viewpage.action?pageId=181847719;Запрос на обслуживание;доступ в CF к https://confluence.bftcom.com/pages/viewpage.action?pageId=181847719;доступ;6
1327;ДИТ. Создание УЗ - Анисимов Антон Александрович;Подзадача;ДИТ. Создание УЗ - Анисимов Антон Александрович;дит создание анисимов антон александрович;12
1328;Оборудование - Анисимов Антон Александрович 9/8/25 ;Подзадача;Оборудование - Анисимов Антон Александрович 9/8/25 ;оборудование анисимов антон александрович;12
1329;Календарь - Анисимов Антон Александрович;HR: Приём;Календарь - Анисимов Антон Александрович;календарь анисимов антон александрович;1
1330;Бухгалтерия. Сформировать акт приема-передачи для Анисимов Антон Александрович , 9/8/25;Подзадача;Бухгалтерия. Сформировать акт приема-передачи для Анисимов Антон Александрович , 9/8/25;бухгалтерия сформировать акт приём передача анисимов антон александрович;12
1331;АХО. Уведомление о выходе сотрудника Анисимов Антон Александрович , 9/8/25;Подзадача;АХО. Уведомление о выходе сотрудника Анисимов Антон Александрович , 9/8/25;ахо уведомление выход сотрудник анисимов антон александрович;12
1332;[Выход] 08.09.2025 Анисимов Антон Александрович (Москва);Заявка на выход сотрудника;[Выход] 08.09.2025 Анисимов Антон Александрович (Москва);выход анисимов антон александрович москва;8
1333;Не работает камера и микрофон ;Запрос на обслуживание;Не работает камера и микрофон ;работать камера микрофон;6
1334;ДТиОР. АСУО. Актуализация информации пользователей (эл.почта);Запрос на обслуживание;ДТиОР. АСУО. Актуализация информации пользователей (эл.почта);дтиор асуо актуализация информация пользователь почта;6
1335;Создание учетной записи Mango Office;Запрос на обслуживание;Создание учетной записи Mango Office;создание учётный запись mango office;6
1336;!Ермаков Подобрать модели ИБП;Подзадача;!Ермаков Подобрать модели ИБП;ермаков подобрать модель ибп;12
1337;На портале не меняется статус отпуска;Запрос на обслуживание;На портале не меняется статус отпуска;портал меняться статус отпуск;6
1338;Прошу увеличить количество оперативной памяти VDI хотя бы до 16гб.;Запрос на обслуживание;Прошу увеличить количество оперативной памяти VDI хотя бы до 16гб.;просить увеличить количество оперативный память vdi хотя;6
1339;Включите пожалуйста лайки для постов в блоге (пространство ДЗР);Запрос на обслуживание;Включите пожалуйста лайки для постов в блоге (пространство ДЗР);включить пожалуйста лайк пост блог пространство дзр;6
1340;"Исключить переработку из документа ""Утверждение сверхурочных""";Запрос на обслуживание;"Исключить переработку из документа ""Утверждение сверхурочных""";исключить переработка документ утверждение сверхурочный;6
1341;перевод заявок ;Запрос на обслуживание;перевод заявок ;перевод заявка;6
1342;ошибка ЗУП ;Запрос на обслуживание;ошибка ЗУП ;ошибка зуп;6
1343;Создание технологической УЗ в домене DMZ;Запрос на обслуживание;Создание технологической УЗ в домене DMZ;создание технологический домен dmz;6
1344;Замена наушников;Запрос на обслуживание;Замена наушников;замена наушник;6
